kab_asal,kab_tujuan,jarak_meter,jarak_km,waktu_detik,waktu_menit
Kabupaten Gresik,Kabupaten Mojokerto,53463.1,53.46,2673.2,44.6
Kabupaten Gresik,Kabupaten Nganjuk,114156.3,114.16,5249.5,87.5
Kabupaten Gresik,Kabupaten Ngawi,165001.4,165.0,7712.8,128.5
Kabupaten Gresik,Kabupaten Pacitan,282476.3,282.48,12453.2,207.6
Kabupaten Gresik,Kabupaten Pamekasan,131738.6,131.74,5941.3,99.0
Kabupaten Gresik,Kabupaten Pasuruan,65701.9,65.7,3243.5,54.1
Kabupaten Gresik,Kabupaten Ponorogo,195563.4,195.56,9063.9,151.1
Kabupaten Gresik,Kabupaten Probolinggo,145415.4,145.42,6729.8,112.2
Kabupaten Gresik,Kabupaten Sampang,98325.8,98.33,4581.7,76.4
Kabupaten Gresik,Kabupaten Sidoarjo,42999.3,43.0,2115.7,35.3
Kabupaten Gresik,Kabupaten Situbondo,221068.8,221.07,9863.6,164.4
Kabupaten Gresik,Kabupaten Sumenep,184362.5,184.36,8487.5,141.5
Kabupaten Gresik,Kabupaten Trenggalek,181389.0,181.39,8053.1,134.2
Kabupaten Gresik,Kabupaten Tuban,84454.8,84.45,3669.4,61.2
Kabupaten Gresik,Kabupaten Tulungagung,149027.4,149.03,6642.5,110.7
Kabupaten Gresik,Kota Batu,118849.8,118.85,5677.5,94.6
Kabupaten Gresik,Kota Blitar,162418.8,162.42,7774.1,129.6
Kabupaten Gresik,Kota Kediri,118584.3,118.58,5204.0,86.7
Kabupaten Gresik,Kota Madiun,166807.3,166.81,7867.4,131.1
Kabupaten Gresik,Kota Malang,109372.1,109.37,5059.7,84.3
Kabupaten Gresik,Kota Mojokerto,52882.5,52.88,2520.0,42.0
Kabupaten Gresik,Kota Pasuruan,81619.2,81.62,3934.8,65.6
Kabupaten Gresik,Kota Probolinggo,117832.7,117.83,5527.5,92.1
Kabupaten Gresik,Kota Surabaya,21983.3,21.98,1184.5,19.7
Kabupaten Jember,Kabupaten Jombang,225365.1,225.37,9862.6,164.4
Kabupaten Jember,Kabupaten Kediri,264535.9,264.54,12109.5,201.8
Kabupaten Jember,Kabupaten Lamongan,239711.8,239.71,10569.8,176.2
Kabupaten Jember,Kabupaten Lumajang,65795.6,65.8,2919.0,48.6
Kabupaten Jember,Kabupaten Madiun,323538.3,323.54,14815.8,246.9
Kabupaten Jember,Kabupaten Magetan,340506.3,340.51,15756.5,262.6
Kabupaten Jember,Kabupaten Malang,175517.5,175.52,7566.4,126.1
Kabupaten Jember,Kabupaten Mojokerto,182694.7,182.69,8254.9,137.6
Kabupaten Jember,Kabupaten Nganjuk,264519.5,264.52,11862.5,197.7
Kabupaten Jember,Kabupaten Ngawi,330011.0,330.01,15318.2,255.3
Kabupaten Jember,Kabupaten Pacitan,401375.7,401.38,17430.3,290.5
Kabupaten Jember,Kabupaten Pamekasan,314038.6,314.04,13823.8,230.4
Kabupaten Jember,Kabupaten Pasuruan,153345.0,153.34,6672.3,111.2
Kabupaten Jember,Kabupaten Ponorogo,350175.6,350.18,15164.6,252.7
Kabupaten Jember,Kabupaten Probolinggo,115892.0,115.89,5197.4,86.6
Kabupaten Jember,Kabupaten Sampang,280625.8,280.63,12464.2,207.7
Kabupaten Jember,Kabupaten Sidoarjo,175820.3,175.82,7657.8,127.6
Kabupaten Jember,Kabupaten Situbondo,68278.8,68.28,3895.8,64.9
Kabupaten Jember,Kabupaten Sumenep,366662.6,366.66,16370.0,272.8
Kabupaten Jember,Kabupaten Trenggalek,300288.4,300.29,13030.2,217.2
Kabupaten Jember,Kabupaten Tuban,294523.5,294.52,12910.3,215.2
Kabupaten Jember,Kabupaten Tulungagung,269692.3,269.69,11706.2,195.1
Kabupaten Jember,Kota Batu,198043.6,198.04,9109.8,151.8
Kabupaten Jember,Kota Blitar,234045.7,234.05,10280.6,171.3
Kabupaten Jember,Kota Kediri,268947.5,268.95,11817.0,196.9
Kabupaten Jember,Kota Madiun,317170.5,317.17,14480.4,241.3
Kabupaten Jember,Kota Malang,185882.7,185.88,8358.9,139.3
Kabupaten Jember,Kota Mojokerto,198693.7,198.69,8733.7,145.6
Kabupaten Jember,Kota Pasuruan,137340.0,137.34,5972.8,99.5
Kabupaten Jember,Kota Probolinggo,100932.0,100.93,4482.4,74.7
Kabupaten Jember,Kota Surabaya,200432.4,200.43,8884.6,148.1
Kabupaten Jombang,Kabupaten Kediri,40251.9,40.25,2427.2,40.5
Kabupaten Jombang,Kabupaten Lamongan,74864.0,74.86,4116.3,68.6
Kabupaten Jombang,Kabupaten Lumajang,173369.2,173.37,7730.1,128.8
Kabupaten Jombang,Kabupaten Madiun,99254.3,99.25,5133.5,85.6
Kabupaten Jombang,Kabupaten Magetan,116222.3,116.22,6074.2,101.2
Kabupaten Jombang,Kabupaten Malang,135759.8,135.76,5968.3,99.5
